Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
350,2.131023907
351,2.196287783
352,2.265799163
353,2.337924824
354,2.408838599
355,2.477067835
356,2.546344953
357,2.634780724
358,2.721124766
359,2.799088153
360,2.875563251
361,2.94862367
362,3.01726954
363,3.107480521
364,3.201943132
365,3.284159867
366,3.367546157
367,3.454447346
368,3.548638152
369,3.649689121
370,3.754960196
371,3.857943587
372,3.959236385
373,4.060941879
374,4.176101337
375,4.291759502
376,4.404923875
377,4.52859073
378,4.65367687
379,4.777242103
380,4.899647612
381,5.025213068
382,5.155838595
383,5.315867863
384,5.486093389
385,5.641033638
386,5.796566021
387,5.950523833
388,6.096221694
389,6.25339771
390,6.42216383
391,6.599981272
392,6.771543193
393,6.939240843
394,7.127781384
395,7.323596388
396,7.522406866
397,7.716124536
398,7.916160322
399,8.127931463
400,8.353667957
401,8.588751058
402,8.830057928
403,9.09957103
404,9.363954329
405,9.599174296
406,9.888158023
407,10.19651013
408,10.49549234
409,10.81032702
410,11.13553341
411,11.46384242
412,11.80457112
413,12.15120876
414,12.48655973
415,12.82634531
416,13.17773527
417,13.55493678
418,13.93028993
419,14.3019554
420,14.67242651
421,15.04320361
422,15.41513193
423,15.78906304
424,16.16080836
425,16.52771869
426,16.88404944
427,17.23155999
428,17.5717439
429,17.92097382
430,18.26293464
431,18.58944178
432,18.8858508
433,19.17853076
434,19.48177506
435,19.8188402
436,20.16173841
437,20.49561974
438,20.81054194
439,21.1261254
440,21.45630199
441,21.76704407
442,22.08305036
443,22.42129026
444,22.7440024
445,23.06044943
446,23.37664364
447,23.70681397
448,24.04689403
449,24.39567452
450,24.73248081
451,25.0682433
452,25.41608242
453,25.76459505
454,26.11480362
455,26.46935361
456,26.80716571
457,27.13437306
458,27.45913512
459,27.79245967
460,28.12865855
461,28.45916563
462,28.78979985
463,29.12541925
464,29.47265096
465,29.81448431
466,30.1656615
467,30.54382023
468,30.9198744
469,31.29121839
470,31.65881901
471,32.02253025
472,32.38603285
473,32.7578782
474,33.12100085
475,33.48142674
476,33.85185098
477,34.24010558
478,34.63630092
479,35.01586206
480,35.40813073
481,35.80469861
482,36.18225497
483,36.56333612
484,36.95180825
485,37.35225511
486,37.74129149
487,38.12607995
488,38.52335743
489,38.93357198
490,39.34481542
491,39.74109698
492,40.14895293
493,40.55918885
494,40.95857097
495,41.36903994
496,41.786277
